N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.035019,0.006115,-0.012792,0.001226,0.000037,0.000164
10,-0.879840,-0.364471,0.202338,0.774118,0.132839,0.040941
10,1.910192,-0.605230,-1.828419,3.648832,0.366303,3.343117
10,-0.051055,-0.547773,-0.098049,0.002607,0.300055,0.009614
10,0.719541,-0.356591,-0.435800,0.517740,0.127157,0.189921
10,-0.577302,3.524399,0.254082,0.333278,12.421388,0.064558
10,-0.182519,-0.382235,0.037849,0.033313,0.146104,0.001433
10,0.219907,-0.600146,-0.201996,0.048359,0.360175,0.040803
10,-0.315485,1.147220,0.133568,0.099531,1.316114,0.017841
10,-0.668000,8.704457,0.090349,0.446224,75.767566,0.008163
10,-0.469811,0.666102,0.477249,0.220722,0.443691,0.227767
10,-0.716161,2.958325,0.205018,0.512886,8.751689,0.042033
10,-0.973725,-0.889300,0.223155,0.948140,0.790854,0.049798
10,-0.705092,-0.734548,0.107165,0.497155,0.539560,0.011484
10,-0.009622,-0.201215,0.009595,0.000093,0.040487,0.000092
10,-0.566428,0.777138,0.043491,0.320841,0.603944,0.001891
10,-0.262351,1.072163,0.195706,0.068828,1.149532,0.038301
10,-0.269904,2.283595,0.072101,0.072848,5.214805,0.005198
10,0.974000,-0.072984,-0.559709,0.948676,0.005327,0.313275
10,-0.360843,-0.526589,0.028637,0.130208,0.277296,0.000820
10,-0.507885,0.049974,0.017213,0.257947,0.002497,0.000296
10,6.785174,-0.721468,-16.937773,46.038593,0.520516,286.888164
10,-0.512918,-0.785402,0.116270,0.263085,0.616856,0.013519
10,-0.676214,-1.031634,0.086847,0.457265,1.064268,0.007542
10,-0.233842,0.306734,0.165119,0.054682,0.094086,0.027264
10,-0.531215,-0.152736,0.201939,0.282189,0.023328,0.040779
10,-0.288494,-0.678673,0.009011,0.083229,0.460597,0.000081
10,-1.396334,-0.538114,0.550914,1.949747,0.289567,0.303507
10,1.236174,-0.628492,-1.595697,1.528125,0.395002,2.546250
10,-0.786334,2.033215,0.242975,0.618322,4.133965,0.059037
10,1.025786,-1.187175,-1.276484,1.052238,1.409384,1.629411
10,-0.742795,-0.907921,0.149495,0.551744,0.824321,0.022349
10,-0.757065,-0.661278,0.064166,0.573147,0.437289,0.004117
10,-0.490971,7.054523,0.130560,0.241053,49.766299,0.017046
10,-0.488986,4.890803,0.157541,0.239107,23.919955,0.024819
10,-0.251928,1.278921,0.094883,0.063468,1.635638,0.009003
10,4.481752,-0.629020,-8.464563,20.086104,0.395666,71.648830
10,1.047079,-0.061358,-0.961536,1.096375,0.003765,0.924551
10,-0.354909,3.609392,0.084867,0.125960,13.027711,0.007202
10,-0.367697,0.712319,0.179908,0.135201,0.507398,0.032367
10,-0.535392,2.954489,0.245031,0.286645,8.729006,0.060040
10,-0.529466,1.684135,0.472370,0.280335,2.836309,0.223133
10,0.249727,-0.202710,-0.105681,0.062364,0.041091,0.011168
10,0.592838,-0.214288,-0.578174,0.351456,0.045919,0.334286
10,-0.021238,-0.109904,-0.029887,0.000451,0.012079,0.000893
10,-0.247683,-0.413236,0.255523,0.061347,0.170764,0.065292
10,3.095695,-0.761998,-3.927316,9.583328,0.580641,15.423813
